asset,commission_year,decommissionable,initial_storage_units,initial_units,milestone_year
NL_Solar,2030,false,0.0,709.0,2030
NL_Wind_Onshore,2030,false,0.0,499.0,2030
NL_Wind_Offshore,2030,false,0.0,0.0,2030
NL_Coal,2030,false,0.0,5.0,2030
NL_Nuclear,2030,false,0.0,0.0,2030
NL_CCGT,2030,false,0.0,4.0,2030
NL_OCGT,2030,false,0.0,3.0,2030
NL_Battery,2030,false,0.0,0.0,2030
BE_Solar,2030,false,0.0,495.0,2030
BE_Wind_Onshore,2030,false,0.0,373.0,2030
BE_Wind_Offshore,2030,false,0.0,0.0,2030
BE_Coal,2030,false,0.0,3.0,2030
BE_Nuclear,2030,false,0.0,0.0,2030
BE_CCGT,2030,false,0.0,3.0,2030
BE_OCGT,2030,false,0.0,4.0,2030
BE_Battery,2030,false,0.0780718413322574,0.0013011973555376,2030
DE_Solar,2030,false,0.0,3864.0,2030
DE_Wind_Onshore,2030,false,0.0,2083.0,2030
DE_Wind_Offshore,2030,false,0.0,0.0,2030
DE_Coal,2030,false,0.0,19.0,2030
DE_Nuclear,2030,false,0.0,0.0,2030
DE_CCGT,2030,false,0.0,31.0,2030
DE_OCGT,2030,false,0.0,9.0,2030
DE_Battery,2030,false,0.0,0.0,2030
FR_Solar,2030,false,0.0,1453.0,2030
FR_Wind_Onshore,2030,false,0.0,2288.0,2030
FR_Wind_Offshore,2030,false,0.0,0.0,2030
FR_Coal,2030,false,0.0,7.0,2030
FR_Nuclear,2030,false,0.0,0.0,2030
FR_CCGT,2030,false,0.0,26.0,2030
FR_OCGT,2030,false,0.0,7.0,2030
FR_Battery,2030,false,0.6358285945132033,0.0105971337051757,2030
LU_Solar,2030,false,0.0,31.0,2030
LU_Wind_Onshore,2030,false,0.0,41.0,2030
LU_Wind_Offshore,2030,false,0.0,0.0,2030
LU_Coal,2030,false,0.0,0.0,2030
LU_Nuclear,2030,false,0.0,0.0,2030
LU_CCGT,2030,false,0.0,1.0,2030
LU_OCGT,2030,false,0.0,0.0,2030
LU_Battery,2030,false,9.257904974701276,0.1542984162450212,2030
CH_Solar,2030,false,0.0,449.0,2030
CH_Wind_Onshore,2030,false,0.0,223.0,2030
CH_Wind_Offshore,2030,false,0.0,0.0,2030
CH_Coal,2030,false,0.0,5.0,2030
CH_Nuclear,2030,false,0.0,0.0,2030
CH_CCGT,2030,false,0.0,2.0,2030
CH_OCGT,2030,false,0.0,4.0,2030
CH_Battery,2030,false,0.0,0.0,2030
UK_Solar,2030,false,0.0,424.0,2030
UK_Wind_Onshore,2030,false,0.0,1561.0,2030
UK_Wind_Offshore,2030,false,0.0,0.0,2030
UK_Coal,2030,false,0.0,0.0,2030
UK_Nuclear,2030,false,0.0,0.0,2030
UK_CCGT,2030,false,0.0,14.0,2030
UK_OCGT,2030,false,0.0,8.0,2030
UK_Battery,2030,false,1.321644763270888,0.0220274127211814,2030
DK_Solar,2030,false,0.0,154.0,2030
DK_Wind_Onshore,2030,false,0.0,235.0,2030
DK_Wind_Offshore,2030,false,0.0,0.0,2030
DK_Coal,2030,false,0.0,1.0,2030
DK_Nuclear,2030,false,0.0,0.0,2030
DK_CCGT,2030,false,0.0,4.0,2030
DK_OCGT,2030,false,0.0,0.0,2030
DK_Battery,2030,false,0.6284628559677913,0.0104743809327965,2030
NO_Solar,2030,false,0.0,0.0,2030
NO_Wind_Onshore,2030,false,0.0,745.0,2030
NO_Wind_Offshore,2030,false,0.0,0.0,2030
NO_Coal,2030,false,0.0,0.0,2030
NO_Nuclear,2030,false,0.0,0.0,2030
NO_CCGT,2030,false,0.0,9.0,2030
NO_OCGT,2030,false,0.0,1.0,2030
NO_Battery,2030,false,0.0,0.0,2030
IE_Solar,2030,false,0.0,81.0,2030
IE_Wind_Onshore,2030,false,0.0,152.0,2030
IE_Wind_Offshore,2030,false,0.0,0.0,2030
IE_Coal,2030,false,0.0,0.0,2030
IE_Nuclear,2030,false,0.0,0.0,2030
IE_CCGT,2030,false,0.0,2.0,2030
IE_OCGT,2030,false,0.0,1.0,2030
IE_Battery,2030,false,0.0,0.0,2030
SE_Solar,2030,false,0.0,786.0,2030
SE_Wind_Onshore,2030,false,0.0,649.0,2030
SE_Wind_Offshore,2030,false,0.0,0.0,2030
SE_Coal,2030,false,0.0,4.0,2030
SE_Nuclear,2030,false,0.0,0.0,2030
SE_CCGT,2030,false,0.0,10.0,2030
SE_OCGT,2030,false,0.0,2.0,2030
SE_Battery,2030,false,0.417008512182656,0.0069501418697109,2030
AT_Solar,2030,false,0.0,485.0,2030
AT_Wind_Onshore,2030,false,0.0,362.0,2030
