asset,commission_year,decommissionable,initial_storage_units,initial_units,milestone_year
NL_Solar,2030,false,0.0,453.0,2030
NL_Wind_Onshore,2030,false,0.0,513.0,2030
NL_Wind_Offshore,2030,false,0.0,0.0,2030
NL_Coal,2030,false,0.0,5.0,2030
NL_Nuclear,2030,false,0.0,0.0,2030
NL_CCGT,2030,false,0.0,7.0,2030
NL_OCGT,2030,false,0.0,5.0,2030
NL_Battery,2030,false,4.751755343204332,0.4751755343204331,2030
BE_Solar,2030,false,0.0,352.0,2030
BE_Wind_Onshore,2030,false,0.0,392.0,2030
BE_Wind_Offshore,2030,false,0.0,0.0,2030
BE_Coal,2030,false,0.0,3.0,2030
BE_Nuclear,2030,false,0.0,0.0,2030
BE_CCGT,2030,false,0.0,4.0,2030
BE_OCGT,2030,false,0.0,4.0,2030
BE_Battery,2030,false,52.82068593261965,3.557570794502689,2030
DE_Solar,2030,false,0.0,1908.0,2030
DE_Wind_Onshore,2030,false,0.0,2192.0,2030
DE_Wind_Offshore,2030,false,0.0,0.0,2030
DE_Coal,2030,false,0.0,25.0,2030
DE_Nuclear,2030,false,0.0,0.0,2030
DE_CCGT,2030,false,0.0,26.0,2030
DE_OCGT,2030,false,0.0,30.0,2030
DE_Battery,2030,false,81.72713477466314,8.161771079852333,2030
FR_Solar,2030,false,0.0,1302.0,2030
FR_Wind_Onshore,2030,false,0.0,2304.0,2030
FR_Wind_Offshore,2030,false,0.0,0.0,2030
FR_Coal,2030,false,0.0,7.0,2030
FR_Nuclear,2030,false,0.0,0.0,2030
FR_CCGT,2030,false,0.0,27.0,2030
FR_OCGT,2030,false,0.0,6.0,2030
FR_Battery,2030,false,416.5241148728092,20.826205743640458,2030
LU_Solar,2030,false,0.0,34.0,2030
LU_Wind_Onshore,2030,false,0.0,38.0,2030
LU_Wind_Offshore,2030,false,0.0,0.0,2030
LU_Coal,2030,false,0.0,0.0,2030
LU_Nuclear,2030,false,0.0,0.0,2030
LU_CCGT,2030,false,0.0,1.0,2030
LU_OCGT,2030,false,0.0,0.0,2030
LU_Battery,2030,false,18.196053245362283,0.8809956559975513,2030
CH_Solar,2030,false,0.0,430.0,2030
CH_Wind_Onshore,2030,false,0.0,224.0,2030
CH_Wind_Offshore,2030,false,0.0,0.0,2030
CH_Coal,2030,false,0.0,5.0,2030
CH_Nuclear,2030,false,0.0,0.0,2030
CH_CCGT,2030,false,0.0,3.0,2030
CH_OCGT,2030,false,0.0,5.0,2030
CH_Battery,2030,false,18.403001630406653,0.9201500815203326,2030
UK_Solar,2030,false,0.0,0.0,2030
UK_Wind_Onshore,2030,false,0.0,1549.0,2030
UK_Wind_Offshore,2030,false,0.0,0.0,2030
UK_Coal,2030,false,0.0,0.0,2030
UK_Nuclear,2030,false,0.0,0.0,2030
UK_CCGT,2030,false,0.0,23.0,2030
UK_OCGT,2030,false,0.0,12.0,2030
UK_Battery,2030,false,327.1106785891756,21.35080104376466,2030
DK_Solar,2030,false,0.0,179.0,2030
DK_Wind_Onshore,2030,false,0.0,235.0,2030
DK_Wind_Offshore,2030,false,0.0,0.0,2030
DK_Coal,2030,false,0.0,1.0,2030
DK_Nuclear,2030,false,0.0,0.0,2030
DK_CCGT,2030,false,0.0,3.0,2030
DK_OCGT,2030,false,0.0,1.0,2030
DK_Battery,2030,false,3.3617282093740477,0.3361728209374047,2030
NO_Solar,2030,false,0.0,0.0,2030
NO_Wind_Onshore,2030,false,0.0,733.0,2030
NO_Wind_Offshore,2030,false,0.0,0.0,2030
NO_Coal,2030,false,0.0,0.0,2030
NO_Nuclear,2030,false,0.0,0.0,2030
NO_CCGT,2030,false,0.0,9.0,2030
NO_OCGT,2030,false,0.0,2.0,2030
NO_Battery,2030,false,32.84689780428344,3.16233894514904,2030
IE_Solar,2030,false,0.0,0.0,2030
IE_Wind_Onshore,2030,false,0.0,166.0,2030
IE_Wind_Offshore,2030,false,0.0,0.0,2030
IE_Coal,2030,false,0.0,0.0,2030
IE_Nuclear,2030,false,0.0,0.0,2030
IE_CCGT,2030,false,0.0,2.0,2030
IE_OCGT,2030,false,0.0,2.0,2030
IE_Battery,2030,false,0.4513630303770696,0.0225681515188534,2030
SE_Solar,2030,false,0.0,522.0,2030
SE_Wind_Onshore,2030,false,0.0,685.0,2030
SE_Wind_Offshore,2030,false,0.0,0.0,2030
SE_Coal,2030,false,0.0,4.0,2030
SE_Nuclear,2030,false,0.0,0.0,2030
SE_CCGT,2030,false,0.0,13.0,2030
SE_OCGT,2030,false,0.0,3.0,2030
SE_Battery,2030,false,14.334704357588636,0.716735217878683,2030
AT_Solar,2030,false,0.0,332.0,2030
AT_Wind_Onshore,2030,false,0.0,369.0,2030
AT_Wind_Offshore,2030,false,0.0,0.0,2030
AT_Coal,2030,false,0.0,3.0,2030
AT_Nuclear,2030,false,0.0,0.0,2030
AT_CCGT,2030,false,0.0,3.0,2030
AT_OCGT,2030,false,0.0,10.0,2030
AT_Battery,2030,false,43.17084839481732,2.158542419740866,2030
CZ_Solar,2030,false,0.0,224.0,2030
CZ_Wind_Onshore,2030,false,0.0,287.0,2030
CZ_Wind_Offshore,2030,false,0.0,0.0,2030
CZ_Coal,2030,false,0.0,3.0,2030
CZ_Nuclear,2030,false,0.0,0.0,2030
CZ_CCGT,2030,false,0.0,3.0,2030
CZ_OCGT,2030,false,0.0,3.0,2030
CZ_Battery,2030,false,9.916546211221991,0.4958273105610959,2030
PL_Solar,2030,false,0.0,338.0,2030
PL_Wind_Onshore,2030,false,0.0,741.0,2030
PL_Wind_Offshore,2030,false,0.0,0.0,2030
PL_Coal,2030,false,0.0,7.0,2030
PL_Nuclear,2030,false,0.0,0.0,2030
PL_CCGT,2030,false,0.0,8.0,2030
PL_OCGT,2030,false,0.0,4.0,2030
PL_Battery,2030,false,0.0,0.0,2030
ES_Solar,2030,false,0.0,1060.0,2030
ES_Wind_Onshore,2030,false,0.0,1324.0,2030
ES_Wind_Offshore,2030,false,0.0,0.0,2030
ES_Coal,2030,false,0.0,13.0,2030
ES_Nuclear,2030,false,0.0,0.0,2030
ES_CCGT,2030,false,0.0,14.0,2030
ES_OCGT,2030,false,0.0,22.0,2030
