id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2030,1,1,1,339.0616590763784
2,AT_Battery,2030,1,2,2,457.6472314982457
3,AT_Battery,2030,1,3,3,118.58557242186725
4,AT_Battery,2030,1,4,4,118.58557242186725
5,AT_Battery,2030,1,5,5,457.6472314982457
6,AT_Battery,2030,1,6,6,378.33561075498164
7,AT_Battery,2030,1,7,7,457.6472314982457
8,AT_Battery,2030,1,8,8,118.58557242186725
9,AT_Battery,2030,1,9,9,0.0
10,AT_Battery,2030,1,10,10,339.0616590763784
11,AT_Battery,2030,1,11,11,111.89177478015154
12,AT_Battery,2030,1,12,12,4.237493697079117
13,AT_Battery,2030,1,13,13,0.0
14,AT_Battery,2030,1,14,14,256.6124926391167
15,AT_Battery,2030,1,15,15,457.6472314982457
16,AT_Battery,2030,1,16,16,283.85289408596327
17,AT_Battery,2030,1,17,17,457.6472314982457
18,AT_Battery,2030,1,18,18,156.42545213451285
19,AT_Battery,2030,1,19,19,211.77089193958864
20,AT_Battery,2030,1,20,20,0.0
21,AT_Battery,2030,1,21,21,0.0
22,AT_Battery,2030,1,22,22,0.0
23,AT_Battery,2030,1,23,23,275.01751918371446
24,AT_Battery,2030,1,24,24,0.0
25,AT_Battery,2030,2,1,1,0.0
26,AT_Battery,2030,2,2,2,339.0616590763784
27,AT_Battery,2030,2,3,3,0.0
28,AT_Battery,2030,2,4,4,339.0616590763784
29,AT_Battery,2030,2,5,5,0.0
30,AT_Battery,2030,2,6,6,0.0
31,AT_Battery,2030,2,7,7,0.0
32,AT_Battery,2030,2,8,8,0.0
33,AT_Battery,2030,2,9,9,0.0
34,AT_Battery,2030,2,10,10,0.0
35,AT_Battery,2030,2,11,11,0.0
36,AT_Battery,2030,2,12,12,0.0
37,AT_Battery,2030,2,13,13,0.0
38,AT_Battery,2030,2,14,14,0.0
39,AT_Battery,2030,2,15,15,0.0
40,AT_Battery,2030,2,16,16,0.0
41,AT_Battery,2030,2,17,17,339.0616590763784
42,AT_Battery,2030,2,18,18,0.0
43,AT_Battery,2030,2,19,19,339.0616590763784
44,AT_Battery,2030,2,20,20,0.0
45,AT_Battery,2030,2,21,21,0.0
46,AT_Battery,2030,2,22,22,339.0616590763784
47,AT_Battery,2030,2,23,23,0.0
48,AT_Battery,2030,2,24,24,0.0
49,AT_Battery,2030,3,1,1,0.0
50,AT_Battery,2030,3,2,2,0.0
51,AT_Battery,2030,3,3,3,339.0616590763784
52,AT_Battery,2030,3,4,4,457.6472314982457
53,AT_Battery,2030,3,5,5,457.6472314982457
54,AT_Battery,2030,3,6,6,457.6472314982457
55,AT_Battery,2030,3,7,7,118.58557242186725
56,AT_Battery,2030,3,8,8,0.0
57,AT_Battery,2030,3,9,9,118.58557242186725
58,AT_Battery,2030,3,10,10,457.6472314982457
59,AT_Battery,2030,3,11,11,339.0616590763784
60,AT_Battery,2030,3,12,12,0.0
61,AT_Battery,2030,3,13,13,206.1848712183455
62,AT_Battery,2030,3,14,14,0.0
63,AT_Battery,2030,3,15,15,118.58557242186725
64,AT_Battery,2030,3,16,16,457.6472314982457
65,AT_Battery,2030,3,17,17,450.72912798010475
66,AT_Battery,2030,3,18,18,111.66746890372633
67,AT_Battery,2030,3,19,19,0.0
68,AT_Battery,2030,3,20,20,339.0616590763784
69,AT_Battery,2030,3,21,21,457.6472314982457
70,AT_Battery,2030,3,22,22,118.58557242186725
71,AT_Battery,2030,3,23,23,0.0
72,AT_Battery,2030,3,24,24,0.0
73,AT_Battery,2030,4,1,1,0.0
74,AT_Battery,2030,4,2,2,0.0
75,AT_Battery,2030,4,3,3,0.0
76,AT_Battery,2030,4,4,4,0.0
77,AT_Battery,2030,4,5,5,148.36655538707055
78,AT_Battery,2030,4,6,6,457.6472314982457
79,AT_Battery,2030,4,7,7,323.4665633961587
80,AT_Battery,2030,4,8,8,457.6472314982457
81,AT_Battery,2030,4,9,9,118.58557242186725
82,AT_Battery,2030,4,10,10,457.6472314982457
83,AT_Battery,2030,4,11,11,118.58557242186725
84,AT_Battery,2030,4,12,12,457.6472314982457
85,AT_Battery,2030,4,13,13,118.58557242186725
86,AT_Battery,2030,4,14,14,457.6472314982457
87,AT_Battery,2030,4,15,15,457.6472314982457
88,AT_Battery,2030,4,16,16,457.6472314982457
89,AT_Battery,2030,4,17,17,244.6274089041567
90,AT_Battery,2030,4,18,18,62.06227370830857
91,AT_Battery,2030,4,19,19,90.81593501221823
92,AT_Battery,2030,4,20,20,0.0
93,AT_Battery,2030,4,21,21,339.0616590763784
94,AT_Battery,2030,4,22,22,0.0
95,AT_Battery,2030,4,23,23,202.037407163436
96,AT_Battery,2030,4,24,24,0.0
97,AT_Battery,2030,5,1,1,339.0616590763784
98,AT_Battery,2030,5,2,2,0.0
99,AT_Battery,2030,5,3,3,0.0
100,AT_Battery,2030,5,4,4,118.58557242186725
101,AT_Battery,2030,5,5,5,457.6472314982457
102,AT_Battery,2030,5,6,6,457.6472314982457
103,AT_Battery,2030,5,7,7,457.6472314982457
104,AT_Battery,2030,5,8,8,457.6472314982457
105,AT_Battery,2030,5,9,9,457.6472314982457
106,AT_Battery,2030,5,10,10,118.58557242186725
107,AT_Battery,2030,5,11,11,457.6472314982457
108,AT_Battery,2030,5,12,12,118.58557242186725
109,AT_Battery,2030,5,13,13,457.6472314982457
110,AT_Battery,2030,5,14,14,118.58557242186725
111,AT_Battery,2030,5,15,15,457.6472314982457
112,AT_Battery,2030,5,16,16,457.6472314982457
113,AT_Battery,2030,5,17,17,457.6472314982457
114,AT_Battery,2030,5,18,18,362.677129578531
115,AT_Battery,2030,5,19,19,27.291736498283285
116,AT_Battery,2030,5,20,20,0.0
117,AT_Battery,2030,5,21,21,0.0
118,AT_Battery,2030,5,22,22,0.0
119,AT_Battery,2030,5,23,23,339.0616590763784
120,AT_Battery,2030,5,24,24,457.6472314982457
121,AT_Battery,2030,6,1,1,0.0
122,AT_Battery,2030,6,2,2,339.0616590763784
123,AT_Battery,2030,6,3,3,0.0
124,AT_Battery,2030,6,4,4,339.0616590763784
125,AT_Battery,2030,6,5,5,0.0
126,AT_Battery,2030,6,6,6,0.0
127,AT_Battery,2030,6,7,7,339.0616590763784
128,AT_Battery,2030,6,8,8,0.0
129,AT_Battery,2030,6,9,9,0.0
130,AT_Battery,2030,6,10,10,0.0
131,AT_Battery,2030,6,11,11,0.0
132,AT_Battery,2030,6,12,12,0.0
133,AT_Battery,2030,6,13,13,0.0
134,AT_Battery,2030,6,14,14,0.0
135,AT_Battery,2030,6,15,15,0.0
136,AT_Battery,2030,6,16,16,0.0
137,AT_Battery,2030,6,17,17,46.2187569635571
138,AT_Battery,2030,6,18,18,385.2804160399355
139,AT_Battery,2030,6,19,19,371.91425542704746
140,AT_Battery,2030,6,20,20,339.0616590763784
141,AT_Battery,2030,6,21,21,0.0
142,AT_Battery,2030,6,22,22,0.0
143,AT_Battery,2030,6,23,23,0.0
144,AT_Battery,2030,6,24,24,0.0
145,AT_Battery,2030,7,1,1,41.075980768512636
146,AT_Battery,2030,7,2,2,253.24922865694316
147,AT_Battery,2030,7,3,3,457.6472314982457
148,AT_Battery,2030,7,4,4,457.6472314982457
149,AT_Battery,2030,7,5,5,204.58315769294586
150,AT_Battery,2030,7,6,6,0.0
151,AT_Battery,2030,7,7,7,274.70261968075965
152,AT_Battery,2030,7,8,8,282.9037324463525
153,AT_Battery,2030,7,9,9,457.6472314982457
154,AT_Battery,2030,7,10,10,457.6472314982457
155,AT_Battery,2030,7,11,11,457.6472314982457
156,AT_Battery,2030,7,12,12,457.6472314982457
157,AT_Battery,2030,7,13,13,457.6472314982457
158,AT_Battery,2030,7,14,14,409.8449746405968
159,AT_Battery,2030,7,15,15,70.78331556421836
160,AT_Battery,2030,7,16,16,409.8449746405968
161,AT_Battery,2030,7,17,17,457.6472314982457
162,AT_Battery,2030,7,18,18,457.6472314982457
163,AT_Battery,2030,7,19,19,315.56866628208627
164,AT_Battery,2030,7,20,20,0.0
165,AT_Battery,2030,7,21,21,25.954416897863666
166,AT_Battery,2030,7,22,22,0.0
167,AT_Battery,2030,7,23,23,0.0
168,AT_Battery,2030,7,24,24,0.0
169,AT_Battery,2030,8,1,1,335.19833661843495
170,AT_Battery,2030,8,2,2,406.92238727570566
171,AT_Battery,2030,8,3,3,195.36965431980207
172,AT_Battery,2030,8,4,4,118.58557242186725
173,AT_Battery,2030,8,5,5,457.6472314982457
174,AT_Battery,2030,8,6,6,118.58557242186725
175,AT_Battery,2030,8,7,7,307.3861595252847
176,AT_Battery,2030,8,8,8,350.0587593792843
177,AT_Battery,2030,8,9,9,339.0616590763784
178,AT_Battery,2030,8,10,10,0.0
179,AT_Battery,2030,8,11,11,339.0616590763784
180,AT_Battery,2030,8,12,12,457.6472314982457
181,AT_Battery,2030,8,13,13,118.58557242186725
182,AT_Battery,2030,8,14,14,457.6472314982457
183,AT_Battery,2030,8,15,15,118.58557242186725
184,AT_Battery,2030,8,16,16,457.6472314982457
185,AT_Battery,2030,8,17,17,457.6472314982457
186,AT_Battery,2030,8,18,18,331.0695251077759
187,AT_Battery,2030,8,19,19,0.0
188,AT_Battery,2030,8,20,20,20.500874346128967
189,AT_Battery,2030,8,21,21,0.0
190,AT_Battery,2030,8,22,22,0.0
191,AT_Battery,2030,8,23,23,339.0616590763784
192,AT_Battery,2030,8,24,24,0.0
193,AT_Battery,2030,9,1,1,0.0
194,AT_Battery,2030,9,2,2,0.0
195,AT_Battery,2030,9,3,3,0.0
196,AT_Battery,2030,9,4,4,118.58557242186725
197,AT_Battery,2030,9,5,5,457.6472314982457
198,AT_Battery,2030,9,6,6,180.05221203473502
199,AT_Battery,2030,9,7,7,118.58557242186725
200,AT_Battery,2030,9,8,8,457.6472314982457
201,AT_Battery,2030,9,9,9,118.58557242186725
202,AT_Battery,2030,9,10,10,0.0
203,AT_Battery,2030,9,11,11,339.0616590763784
204,AT_Battery,2030,9,12,12,0.0
205,AT_Battery,2030,9,13,13,0.0
206,AT_Battery,2030,9,14,14,0.0
207,AT_Battery,2030,9,15,15,0.0
208,AT_Battery,2030,9,16,16,0.0
209,AT_Battery,2030,9,17,17,339.0616590763784
210,AT_Battery,2030,9,18,18,0.0
211,AT_Battery,2030,9,19,19,339.0616590763784
212,AT_Battery,2030,9,20,20,0.0
213,AT_Battery,2030,9,21,21,85.44482633781445
214,AT_Battery,2030,9,22,22,424.50648541419287
215,AT_Battery,2030,9,23,23,339.0616590763784
216,AT_Battery,2030,9,24,24,0.0
