id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,0.07819834489155256
2,BE_Battery,2030,false,10.0,,3.2430715537373986
3,DE_Battery,2030,false,10.0,,0.0
4,FR_Battery,2030,false,10.0,,136.4518840469049
5,LU_Battery,2030,false,10.0,,26.900037104805698
6,CH_Battery,2030,false,10.0,,0.0
7,UK_Battery,2030,false,10.0,,93.31373043054154
8,DK_Battery,2030,false,10.0,,2.532571891167663
9,NO_Battery,2030,false,10.0,,2.746644935817494
10,IE_Battery,2030,false,10.0,,2.3435920504215573
11,SE_Battery,2030,false,10.0,,1.911745429619259
12,AT_Battery,2030,false,10.0,,42.393770479717794
13,CZ_Battery,2030,false,10.0,,38.56044313879802
14,PL_Battery,2030,false,10.0,,0.2510635409393217
15,ES_Battery,2030,false,10.0,,9.381819361409725
16,IT_Battery,2030,false,10.0,,162.20150412361545
17,LT_Battery,2030,false,10.0,,1.3027552411129393
18,FI_Battery,2030,false,10.0,,2.4504300028962462
19,SI_Battery,2030,false,10.0,,13.662479287251893
20,HU_Battery,2030,false,10.0,,43.67530197227243
21,SK_Battery,2030,false,10.0,,26.253537804645646
22,PT_Battery,2030,false,10.0,,56.200218519427835
23,HR_Battery,2030,false,10.0,,0.0
24,RO_Battery,2030,false,10.0,,18.80707489502106
25,GR_Battery,2030,false,10.0,,40.227752172294274
26,LV_Battery,2030,false,10.0,,5.320990467983721
27,EE_Battery,2030,false,10.0,,34.13108888475218
28,MT_Battery,2030,false,10.0,,12.688987137019343
29,CY_Battery,2030,false,10.0,,9.151077062458494
30,BG_Battery,2030,false,10.0,,40.473798824758795
