id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,BE_Balance,2030,1,1,6,745,0.0,0.0
2,NL_Balance,BE_Balance,2030,1,7,12,746,0.0,0.0
3,NL_Balance,BE_Balance,2030,1,13,18,747,0.0,0.0
4,NL_Balance,BE_Balance,2030,1,19,24,748,-4.865399999999999,0.0
5,NL_Balance,NO_Balance,2030,1,1,6,749,-4.865399999999999,0.0
6,NL_Balance,NO_Balance,2030,1,7,12,750,-10.5894,0.0
7,NL_Balance,NO_Balance,2030,1,13,18,751,-4.865399999999999,0.0
8,NL_Balance,NO_Balance,2030,1,19,24,752,-4.865399999999999,0.0
9,NL_Balance,DK_Balance,2030,1,1,6,753,0.0,0.0
10,NL_Balance,DK_Balance,2030,1,7,12,754,-4.865399999999999,0.0
11,NL_Balance,DK_Balance,2030,1,13,18,755,-4.865399999999999,0.0
12,NL_Balance,DK_Balance,2030,1,19,24,756,-4.865399999999999,0.0
13,NL_Balance,UK_Balance,2030,1,1,6,757,0.0,5.6286000000000005
14,NL_Balance,UK_Balance,2030,1,7,12,758,-4.865399999999999,0.0
15,NL_Balance,UK_Balance,2030,1,13,18,759,0.0,5.6286000000000005
16,NL_Balance,UK_Balance,2030,1,19,24,760,0.0,5.6286000000000005
17,BE_Balance,FR_Balance,2030,1,1,6,761,0.0,0.0
18,BE_Balance,FR_Balance,2030,1,7,12,762,-10.5894,0.0
19,BE_Balance,FR_Balance,2030,1,13,18,763,-4.865399999999999,0.0
20,BE_Balance,FR_Balance,2030,1,19,24,764,0.0,0.0
21,BE_Balance,DE_Balance,2030,1,1,6,765,-4.865399999999999,0.0
22,BE_Balance,DE_Balance,2030,1,7,12,766,0.0,0.0
23,BE_Balance,DE_Balance,2030,1,13,18,767,0.0,0.0
24,BE_Balance,DE_Balance,2030,1,19,24,768,0.0,4.865399999999999
25,DE_Balance,SE_Balance,2030,1,1,6,769,0.0,0.0
26,DE_Balance,SE_Balance,2030,1,7,12,770,-10.5894,0.0
27,DE_Balance,SE_Balance,2030,1,13,18,771,-4.865399999999999,0.0
28,DE_Balance,SE_Balance,2030,1,19,24,772,-10.5894,0.0
29,DE_Balance,FR_Balance,2030,1,1,6,773,0.0,4.865399999999999
30,DE_Balance,FR_Balance,2030,1,7,12,774,-10.5894,0.0
