id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,1.1890562494756522
2,BE_Battery,2030,false,10.0,,21.680461419740084
3,DE_Battery,2030,false,10.0,,0.09094066923862557
4,FR_Battery,2030,false,10.0,,416.52411487280915
5,LU_Battery,2030,false,10.0,,18.19605324536231
6,CH_Battery,2030,false,10.0,,18.40300163040654
7,UK_Battery,2030,false,10.0,,184.3910180080602
8,DK_Battery,2030,false,10.0,,0.09415615353304041
9,NO_Battery,2030,false,10.0,,13.591457904977142
10,IE_Battery,2030,false,10.0,,0.45136303037706965
11,SE_Battery,2030,false,10.0,,14.334704357588999
12,AT_Battery,2030,false,10.0,,43.17084839481731
13,CZ_Battery,2030,false,10.0,,5.028458156427587
14,PL_Battery,2030,false,10.0,,0.0
15,ES_Battery,2030,false,10.0,,147.25654530355604
16,IT_Battery,2030,false,10.0,,109.2005832010822
17,LT_Battery,2030,false,10.0,,0.5327891737322453
18,FI_Battery,2030,false,10.0,,0.0
19,SI_Battery,2030,false,10.0,,29.532522029131076
20,HU_Battery,2030,false,10.0,,29.08683134006542
21,SK_Battery,2030,false,10.0,,26.51088193391788
22,PT_Battery,2030,false,10.0,,89.54618190246912
23,HR_Battery,2030,false,10.0,,1.5774915170755244
24,RO_Battery,2030,false,10.0,,24.42091451693823
25,GR_Battery,2030,false,10.0,,44.712660054364186
26,LV_Battery,2030,false,10.0,,5.047933605237202
27,EE_Battery,2030,false,10.0,,16.443424932769524
28,MT_Battery,2030,false,10.0,,14.999443656124146
29,CY_Battery,2030,false,10.0,,23.851828852930204
30,BG_Battery,2030,false,10.0,,80.98627212264145
