id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,0.22719605129943976
2,BE_Battery,2030,false,10.0,,0.0
3,DE_Battery,2030,false,10.0,,0.0
4,FR_Battery,2030,false,10.0,,0.0
5,LU_Battery,2030,false,10.0,,4.824220544400066
6,CH_Battery,2030,false,10.0,,0.062214605741974086
7,UK_Battery,2030,false,10.0,,0.7064622901896656
8,DK_Battery,2030,false,10.0,,0.03943708248697941
9,NO_Battery,2030,false,10.0,,0.7386394851433579
10,IE_Battery,2030,false,10.0,,0.0
11,SE_Battery,2030,false,10.0,,0.03179468707094202
12,AT_Battery,2030,false,10.0,,2.736039620145675
13,CZ_Battery,2030,false,10.0,,0.7424187787726737
14,PL_Battery,2030,false,10.0,,0.0
15,ES_Battery,2030,false,10.0,,6.30501509044625
16,IT_Battery,2030,false,10.0,,54.3171519152027
17,LT_Battery,2030,false,10.0,,0.0
18,FI_Battery,2030,false,10.0,,0.29871128796075935
19,SI_Battery,2030,false,10.0,,26.617973294520652
20,HU_Battery,2030,false,10.0,,30.55885073471679
21,SK_Battery,2030,false,10.0,,8.595073827444617
22,PT_Battery,2030,false,10.0,,27.670283688404197
23,HR_Battery,2030,false,10.0,,0.0
24,RO_Battery,2030,false,10.0,,0.11386725097254384
25,GR_Battery,2030,false,10.0,,50.135444052641596
26,LV_Battery,2030,false,10.0,,3.9086542068348535
27,EE_Battery,2030,false,10.0,,20.72613860113887
28,MT_Battery,2030,false,10.0,,12.021562064452166
29,CY_Battery,2030,false,10.0,,24.857746519284944
30,BG_Battery,2030,false,10.0,,1.517029426074032
