id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,9.277899459831497
2,BE_Battery,2030,false,10.0,,33.861081651763016
3,DE_Battery,2030,false,10.0,,109.1759935780683
4,FR_Battery,2030,false,10.0,,495.10258432311855
5,LU_Battery,2030,false,10.0,,24.07979999636762
6,CH_Battery,2030,false,10.0,,17.33243996334331
7,UK_Battery,2030,false,10.0,,333.147737685416
8,DK_Battery,2030,false,10.0,,4.064653989991234
9,NO_Battery,2030,false,10.0,,32.84689780428344
10,IE_Battery,2030,false,10.0,,0.45136303037706965
11,SE_Battery,2030,false,10.0,,14.21114483623678
12,AT_Battery,2030,false,10.0,,47.457284462495956
13,CZ_Battery,2030,false,10.0,,7.902340037787326
14,PL_Battery,2030,false,10.0,,0.0
15,ES_Battery,2030,false,10.0,,9.381819361408906
16,IT_Battery,2030,false,10.0,,162.2015041236136
17,LT_Battery,2030,false,10.0,,1.6400510058666669
18,FI_Battery,2030,false,10.0,,2.4504300028962462
19,SI_Battery,2030,false,10.0,,13.66247928725188
20,HU_Battery,2030,false,10.0,,43.67530197227243
21,SK_Battery,2030,false,10.0,,26.253538164143617
22,PT_Battery,2030,false,10.0,,27.670283688404197
23,HR_Battery,2030,false,10.0,,0.0
24,RO_Battery,2030,false,10.0,,0.113867250966838
25,GR_Battery,2030,false,10.0,,53.19134266774148
26,LV_Battery,2030,false,10.0,,6.272369473428948
27,EE_Battery,2030,false,10.0,,20.72613860113887
28,MT_Battery,2030,false,10.0,,12.021562064452166
29,CY_Battery,2030,false,10.0,,24.857746519284944
30,BG_Battery,2030,false,10.0,,5.443378977165338
