id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,0.0
2,BE_Battery,2030,false,10.0,,0.0
3,DE_Battery,2030,false,10.0,,394.52386806787547
4,FR_Battery,2030,false,10.0,,301.2892909038375
5,LU_Battery,2030,false,10.0,,44.83430907292386
6,CH_Battery,2030,false,10.0,,115.5297102557779
7,UK_Battery,2030,false,10.0,,305.0782485372154
8,DK_Battery,2030,false,10.0,,0.0
9,NO_Battery,2030,false,10.0,,15.896610723286473
10,IE_Battery,2030,false,10.0,,0.0
11,SE_Battery,2030,false,10.0,,23.89705975488027
12,AT_Battery,2030,false,10.0,,0.0
13,CZ_Battery,2030,false,10.0,,21.101903117534516
14,PL_Battery,2030,false,10.0,,5.896696087541298
15,ES_Battery,2030,false,10.0,,275.83404639894724
16,IT_Battery,2030,false,10.0,,515.5149988887075
17,LT_Battery,2030,false,10.0,,2.759844928704537
18,FI_Battery,2030,false,10.0,,40.049051873209024
19,SI_Battery,2030,false,10.0,,5.324802789143723
20,HU_Battery,2030,false,10.0,,5.510675561919368
21,SK_Battery,2030,false,10.0,,14.784231737615343
22,PT_Battery,2030,false,10.0,,42.554867344361995
23,HR_Battery,2030,false,10.0,,31.22083616330706
24,RO_Battery,2030,false,10.0,,5.079464921091767
25,GR_Battery,2030,false,10.0,,0.0
26,LV_Battery,2030,false,10.0,,0.0
27,EE_Battery,2030,false,10.0,,67.04731285163582
28,MT_Battery,2030,false,10.0,,205.91282306403036
29,CY_Battery,2030,false,10.0,,11.059799933471368
30,BG_Battery,2030,false,10.0,,64.87882061520914
