id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_Balance,2030,1,1,6,5.6286000000000005
2,AT_Balance,2030,1,7,12,10.494
3,AT_Balance,2030,1,13,18,5.6286000000000005
4,AT_Balance,2030,1,19,24,10.494
5,AT_Balance,2030,2,1,6,0.0
6,AT_Balance,2030,2,7,12,0.0
7,AT_Balance,2030,2,13,18,0.0
8,AT_Balance,2030,2,19,24,0.0
9,AT_Balance,2030,3,1,6,3.0798
10,AT_Balance,2030,3,7,12,8.873999999999999
11,AT_Balance,2030,3,13,18,10.38419429567304
12,AT_Balance,2030,3,19,24,38.27679347949858
13,AT_Balance,2030,4,1,6,2.4426
14,AT_Balance,2030,4,7,12,2.4426
15,AT_Balance,2030,4,13,18,2.4426
16,AT_Balance,2030,4,19,24,2.4426
17,AT_Balance,2030,5,1,6,0.0
18,AT_Balance,2030,5,7,12,0.0
19,AT_Balance,2030,5,13,18,0.0
20,AT_Balance,2030,5,19,24,0.0
21,AT_Balance,2030,6,1,6,1.9116
22,AT_Balance,2030,6,7,12,1.9116
23,AT_Balance,2030,6,13,18,0.0
24,AT_Balance,2030,6,19,24,1.9116
25,AT_Balance,2030,7,1,6,3.9294000000000002
26,AT_Balance,2030,7,7,12,3.9294000000000002
27,AT_Balance,2030,7,13,18,3.9294000000000002
28,AT_Balance,2030,7,19,24,7.3260000000000005
29,AT_Balance,2030,8,1,6,0.0
30,AT_Balance,2030,8,7,12,4.399403385042241
31,AT_Balance,2030,8,13,18,0.0
32,AT_Balance,2030,8,19,24,3.2922000000000002
33,AT_Balance,2030,9,1,6,0.0
34,AT_Balance,2030,9,7,12,4.5666
35,AT_Balance,2030,9,13,18,0.2205592258367295
36,AT_Balance,2030,9,19,24,4.5666
37,AT_Balance,2030,10,1,6,4.8852
38,AT_Balance,2030,10,7,12,9.108
39,AT_Balance,2030,10,13,18,9.108
40,AT_Balance,2030,10,19,24,9.108
41,BE_Balance,2030,1,1,6,5.6286000000000005
42,BE_Balance,2030,1,7,12,10.494
43,BE_Balance,2030,1,13,18,5.6286000000000005
44,BE_Balance,2030,1,19,24,10.494
45,BE_Balance,2030,2,1,6,0.0
46,BE_Balance,2030,2,7,12,3.5046
47,BE_Balance,2030,2,13,18,3.5046
48,BE_Balance,2030,2,19,24,3.5046
49,BE_Balance,2030,3,1,6,0.0
50,BE_Balance,2030,3,7,12,0.0
51,BE_Balance,2030,3,13,18,0.0
52,BE_Balance,2030,3,19,24,0.0
53,BE_Balance,2030,4,1,6,0.0
54,BE_Balance,2030,4,7,12,2.4426
55,BE_Balance,2030,4,13,18,0.0
56,BE_Balance,2030,4,19,24,0.0
57,BE_Balance,2030,5,1,6,0.0
58,BE_Balance,2030,5,7,12,0.0
59,BE_Balance,2030,5,13,18,0.0
60,BE_Balance,2030,5,19,24,0.0
61,BE_Balance,2030,6,1,6,1.9116
