id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,1,6,11330.018870407119
2,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,7,12,13126.20489369076
3,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,13,18,13754.420665649843
4,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,19,24,12095.730728059823
5,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,1,6,8248.331460220847
6,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,7,12,5599.765609385876
7,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,13,18,5706.585006553192
8,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,19,24,9105.162284063277
9,NL_OCGT,NL_Balance,2030,1,1.0,1.0,1,6,0.0
10,NL_OCGT,NL_Balance,2030,1,1.0,1.0,7,12,0.0
11,NL_OCGT,NL_Balance,2030,1,1.0,1.0,13,18,0.0
12,NL_OCGT,NL_Balance,2030,1,1.0,1.0,19,24,0.0
13,NL_Battery,NL_Balance,2030,1,1.0,1.0,1,6,0.0
14,NL_Battery,NL_Balance,2030,1,1.0,1.0,7,12,0.0
15,NL_Battery,NL_Balance,2030,1,1.0,1.0,13,18,0.0
16,NL_Battery,NL_Balance,2030,1,1.0,1.0,19,24,0.0
17,NL_Balance,NL_Battery,2030,1,1.0,1.0,1,6,0.0
18,NL_Balance,NL_Battery,2030,1,1.0,1.0,7,12,0.0
19,NL_Balance,NL_Battery,2030,1,1.0,1.0,13,18,0.0
20,NL_Balance,NL_Battery,2030,1,1.0,1.0,19,24,0.0
21,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,1,6,0.0
22,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,7,12,0.0
23,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,13,18,0.0
24,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,19,24,0.0
25,BE_Coal,BE_Balance,2030,1,1.0,1.0,1,6,2472.0
26,BE_Coal,BE_Balance,2030,1,1.0,1.0,7,12,2472.0
27,BE_Coal,BE_Balance,2030,1,1.0,1.0,13,18,0.0
28,BE_Coal,BE_Balance,2030,1,1.0,1.0,19,24,2471.999999999999
29,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,1,6,0.0
30,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,7,12,0.0
31,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,13,18,0.0
32,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,19,24,9.536747711536013e-07
33,BE_CCGT,BE_Balance,2030,1,1.0,1.0,1,6,0.0
34,BE_CCGT,BE_Balance,2030,1,1.0,1.0,7,12,2142.0
35,BE_CCGT,BE_Balance,2030,1,1.0,1.0,13,18,0.0
36,BE_CCGT,BE_Balance,2030,1,1.0,1.0,19,24,0.0
37,BE_OCGT,BE_Balance,2030,1,1.0,1.0,1,6,0.0
38,BE_OCGT,BE_Balance,2030,1,1.0,1.0,7,12,0.0
